개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),문화체육업종명,공사립구분명,보험가입여부코드,지도자수,건축물동수,건축물연면적,회원모집총인원,세부업종명,법인명
3230000,CDFH3301062020000016,20200710,-,1,영업/정상,13,영업중,-,-,-,-,02 422 4365,-,-,서울특별시 송파구 석촌동 210 공익빌딩,서울특별시 송파구 백제고분로 276 공익빌딩 3층 2호 (석촌동),05679,(주) 더랩스휘트니스 석촌고분,20200710174204,I,2019 12 06 23:02:00.0,-,208529.294612776,444440.154041662,-,-,-,-,-,-,-,-,-
3220000,CDFH3301062020000037,20201020,-,1,영업/정상,13,영업중,-,-,-,-,02 515 1123,-,-,서울특별시 강남구 논현동 242 51 성부빌딩,서울특별시 강남구 선릉로 655 성부빌딩 3층 (논현동),06099,프로짐,20201020105824,I,2019 10 30 22:02:00.0,-,203619.737329962,445879.859319977,-,-,-,-,-,-,-,-,-
3150000,CDFH3301062020000016,20200714,-,1,영업/정상,13,영업중,-,-,-,-,-,-,-,서울특별시 강서구 마곡동 797 7 퀸즈파크텐 508호,서울특별시 강서구 마곡중앙6로 66 퀸즈파크텐 508호 (마곡동),07803,번타임 코리아,20200716185625,U,2019 12 06 23:08:00.0,-,-,-,-,-,-,-,-,-,-,-,-
3000000,CDFH3301062020000007,20200720,-,1,영업/정상,13,영업중,-,-,-,-,-,-,-,서울특별시 종로구 숭인동 76 롯데캐슬 천지인,서울특별시 종로구 종로 347 지하119~129호 (숭인동 롯데캐슬 천지인),03113,(주) 케이디스포츠 스포애니 동묘앞역점,20200721091004,I,2019 12 06 22:02:00.0,-,201359.53353905,452395.659064842,-,-,-,-,-,-,-,-,-
3000000,CDFH3301062020000006,20200717,-,1,영업/정상,13,영업중,-,-,-,-,-,-,-,서울특별시 종로구 숭인동 76 롯데캐슬 천지인,서울특별시 종로구 종로 347 지하119~129호 (숭인동 롯데캐슬 천지인),03113,스포애니 동묘앞역점,20200721091838,I,2019 12 06 22:03:00.0,-,201359.53353905,452395.659064842,-,-,-,-,-,-,-,-,-
3060000,CDFH3301062020000003,20200713,-,1,영업/정상,13,영업중,-,-,-,-,-,-,-,서울특별시 중랑구 망우동 442 21 까치유치원,서울특별시 중랑구 용마산로 448 까치유치원 23층 (망우동),02188,리얼타임 피트니스,20200713131202,I,2019 12 06 23:05:00.0,-,208591.021424155,454321.403758328,-,-,-,-,-,-,-,-,-
3200000,CDFH3301062020000010,20200713,-,1,영업/정상,13,영업중,-,-,-,-,-,-,-,서울특별시 관악구 봉천동 729 32 해태보라매타워,서울특별시 관악구 보라매로3길 29 3층 07 08호 (봉천동 해태보라매타워),08708,제이디피티샵,20200713184340,I,2019 12 06 23:05:00.0,-,193306.240555398,443221.321009043,-,-,-,-,-,-,-,-,-
3020000,CDFH3301062006000002,20060523,-,1,영업/정상,13,영업중,-,-,-,-,02 6393 1375,-,-,서울특별시 용산구 이태원동 116 1 지하2층,서울특별시 용산구 이태원로27가길 26 (이태원동 해밀톤호텔 별관),04350,해밀톤 휘트니스센터,20200713170919,U,2019 12 06 23:05:00.0,-,199357.143999617,448100.802302867,-,-,-,-,-,-,-,-,-
3150000,CDFH3301062016000007,20160704,-,1,영업/정상,13,영업중,-,-,-,-,02 2664 7984,-,-,서울특별시 강서구 마곡동 739 1 마곡더블유타워 10층 1001~1007호,서울특별시 강서구 방화대로 294 10층 1001~1007호 (마곡동 마곡더블유타워),07599,에이블짐 신방화역점,20200715203451,U,2019 12 06 23:07:00.0,-,183758,451652,-,-,-,-,-,-,-,-,-
3040000,CDFH3301062015000007,20150730,-,1,영업/정상,13,영업중,-,-,-,-,024447729,-,143130,서울특별시 광진구 화양동 113 1번지,서울특별시 광진구 능동로19길 35 지하3층 (화양동),05009,휘트니스베이 24시 건대점,20200611091005,U,2019 12 05 23:03:00.0,-,206278.982112971,449425.131943862,-,-,-,-,-,-,-,-,-
