,0
0,노원구
1,종로구
2,동작구
3,강남구
4,종로구
5,중구
6,강서구
7,서초구
8,노원구
9,종로구
10,강남구
11,중구
12,중구
13,중구
14,중구
15,중구
16,중구
17,중구
18,강남구
19,성동구
20,강동구
21,강동구
22,중구
23,용산구
24,노원구
25,강동구
26,은평구
27,양천구
28,성동구
29,성동구
30,성동구
31,성동구
32,은평구
33,성동구
34,중구
35,성동구
36,서초구
37,광진구
38,광진구
39,광진구
40,광진구
41,광진구
42,광진구
43,광진구
44,강남구
45,성동구
46,광진구
47,강서구
48,동대문구
49,동대문구
50,광진구
51,강서구
52,동대문구
53,동대문구
54,동대문구
55,동대문구
56,동대문구
57,동대문구
58,동대문구
59,동대문구
60,강북구
61,동대문구
62,동대문구
63,동대문구
64,중랑구
65,노원구
66,노원구
67,강남구
68,동대문구
69,동대문구
70,동대문구
71,동대문구
72,동대문구
73,동대문구
74,동대문구
75,동대문구
76,구로구
77,동대문구
78,송파구
79,광진구
80,강서구
81,강서구
82,강서구
83,강서구
84,중랑구
85,강남구
86,노원구
87,양천구
88,송파구
89,성북구
90,도봉구
91,송파구
92,중랑구
93,성북구
94,중랑구
95,성북구
96,성북구
97,구로구
98,영등포구
99,성북구
100,강북구
101,강북구
102,강북구
103,강북구
104,강북구
105,중랑구
106,강북구
107,강북구
108,강북구
109,영등포구
110,송파구
111,동대문구
112,강북구
113,강북구
114,강북구
115,강북구
116,도봉구
117,송파구
118,강북구
119,동작구
120,도봉구
121,도봉구
122,도봉구
123,도봉구
124,서초구
125,강동구
126,마포구
127,성동구
128,도봉구
129,영등포구
130,관악구
131,성북구
132,노원구
133,노원구
134,서초구
135,종로구
136,성북구
137,강동구
138,도봉구
139,광진구
140,도봉구
141,성북구
142,강남구
143,성북구
144,성북구
145,성북구
146,강북구
147,송파구
148,영등포구
149,영등포구
150,은평구
151,종로구
152,금천구
153,은평구
154,은평구
155,도봉구
156,송파구
157,은평구
158,은평구
159,은평구
160,은평구
161,은평구
162,은평구
163,은평구
164,은평구
165,은평구
166,양천구
167,강남구
168,은평구
169,강북구
170,은평구
171,중랑구
172,은평구
173,은평구
174,노원구
175,은평구
176,은평구
177,서대문구
178,마포구
179,서대문구
180,서대문구
181,서대문구
182,도봉구
183,서대문구
184,도봉구
185,동작구
186,마포구
187,강서구
188,마포구
189,마포구
190,마포구
191,마포구
192,마포구
193,동대문구
194,마포구
195,동대문구
196,중랑구
197,동대문구
198,동작구
199,동작구
200,동대문구
201,노원구
202,강서구
203,종로구
204,마포구
205,은평구
206,양천구
207,성북구
208,용산구
209,노원구
210,중랑구
211,노원구
212,강서구
213,광진구
214,구로구
