개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,구,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),의료기관종별명,의료인수,입원실수,병상수,총면적,진료과목내용,진료과목내용명,지정취소일자,완화의료지정형태,완화의료담당부서명,구급차특수,구급차일반,총인원,구조사수,허가병상수,최초지정일자
3100000,PHMA220163100034021200001,20160310,,1,영업/정상,13,영업중,,,,,,02-1800-0755,,,서울특별시 노원구 공릉동 617번지 4호,서울특별시 노원구 동일로 996 (공릉동),1849.0,강북연세병원,20210507095653,U,2020-12-05 00:09:00.0,병원,206592.199165568,457438.713791301,,,,,,,,,,,,,,,,
3000000,PHMA220043000034021200001,20040901,,1,영업/정상,13,영업중,,,,,,02-2072-2655,,,,서울특별시 종로구 대학로 101 (연건동),3080.0,서울대학교치과병원,20190925074803,U,2019-11-20 02:40:00.0,치과병원,199920.803380964,452984.360451452,치과병원,250.0,15.0,40.0,20778.51,109 402 403 404 405 406 407 408 409 410,구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과 마취통증의학과,,,,0.0,0.0,,,0.0,
3190000,PHMA220013190033021200001,20010307,,1,영업/정상,13,영업중,,,,,,02-815-3788,,156806.0,서울특별시 동작구 노량진동 311번지 8호 외 4필지,서울특별시 동작구 장승배기로 108 (노량진동),6925.0,청화병원,20201201103107,U,2019-11-02 00:03:00.0,병원,194640.513728351,444993.67767627,,,,,,,,,,,,,,,,
3220000,PHMA220203220033021200003,20200918,,1,영업/정상,13,영업중,,,,,,02-6242-1010,,,서울특별시 강남구 도곡동 542 치휴한방병원(지하2층~지상6층),서울특별시 강남구 도곡로 216 치휴한방병원 (도곡동),6272.0,치휴한방병원,20201204175624,U,2019-11-02 00:06:00.0,한방병원,203711.024559394,443376.829577467,,,,,,,,,,,,,,,,
3000000,PHMA219773000034021200001,19770401,,1,영업/정상,13,영업중,,,,,,02-2002-8000,,,,서울특별시 종로구 새문안로 9 적십자병원 (평동),3181.0,서울적십자병원,20200928140225,U,2019-12-08 21:00:00.0,종합병원,197013.490218964,451678.787536538,,,,,,,,,,,,,,,,
3010000,PHMA220003010033021200001,20000810,,1,영업/정상,13,영업중,,,,,,753-1922,,100706.0,서울특별시 중구 충무로1가 25번지 5호 고려대연각센터빌딩 3층 306호,서울특별시 중구 퇴계로 97 3층 306호 (충무로1가 고려대연각센터빌딩),4535.0,한누리치과병원,20170905183811,I,2018-08-31 23:59:59.0,치과병원,198388.365585519,450963.241815173,치과병원,3.0,0.0,0.0,302.6,407 406 405 404 403,치과보철과 치과교정과 소아치과 치주과 치과보존과,,,,0.0,0.0,,,0.0,
3150000,PHMA220203150037021200003,20200708,,1,영업/정상,13,영업중,,,,,,02-6949-0337,,,서울특별시 강서구 마곡동 799-11 파인스퀘어,서울특별시 강서구 마곡중앙4로 22 파인스퀘어 34층 (마곡동),7631.0,보금한방병원,20210319180115,U,2020-12-02 22:01:00.0,한방병원,,,,,,,,,,,,,,,,,,
3210000,PHMA220213210034021200001,20210125,,1,영업/정상,13,영업중,,,,,,02-2088-2975,,,서울특별시 서초구 서초동 1338-21 코리아비지니스센타,서울특별시 서초구 강남대로 309 코리아비지니스센타 2층 (서초동),6628.0,광덕안정한방병원,20210604181022,U,2020-12-06 00:06:00.0,한방병원,202623.297219041,443154.964346798,,,,,,,,,,,,,,,,
3100000,PHMA220053100034021200003,20051227,,1,영업/정상,13,영업중,,,,,,02-3391-3992~3,,139942.0,서울특별시 노원구 상계동 711번지 12호 9층~11층,서울특별시 노원구 동일로 1419 9층~11층 (상계동),1689.0,선의요양병원,20210611094146,U,2020-12-05 23:03:00.0,요양병원(일반요양병원),205211.963702341,461437.853953207,,,,,,,,,,,,,,,,
3000000,PHMA219873000034021200001,19870424,,1,영업/정상,13,영업중,,,,,,02-737-0181,,110080.0,서울특별시 종로구 무악동 32번지 2호,서울특별시 종로구 통일로 256 (무악동),3030.0,세란병원,20210528144950,U,2020-12-04 21:00:00.0,종합병원,196173.853620552,452543.712240555,,,,,,,,,,,,,,,,
3220000,PHMA220193220033021200003,20191031,,1,영업/정상,13,영업중,,,,,,02-1644-4712~3,,,서울특별시 강남구 논현동 2번지 10호 아이올리빌딩 1층~4층,서울특별시 강남구 도산대로6길 14 아이올리빌딩 1층~4층층 (논현동),6038.0,미림한방병원,20210617165148,U,2020-12-05 23:09:00.0,한방병원,201848.507662396,445944.751663103,,,,,,,,,,,,,,,,
3010000,PHMA220163010033021200001,20160708,,1,영업/정상,13,영업중,,,,,,02-2165-0965,,,서울특별시 중구 순화동 1번지 170호 케이지타워,서울특별시 중구 통일로 92 케이지타워 128층 (순화동),4517.0,광화문자생한방병원,20190801154006,U,2019-08-03 02:40:00.0,한방병원,197214.205778633,451259.671938774,한방병원,21.0,10.0,50.0,2454.42,308 307 306 305 304 303 302 301 116 101,내과 영상의학과 한방내과 한방부인과 한방소아과 한방안?이비인후?피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,,,,0.0,0.0,,,0.0,
3010000,PHMA220163010033021200002,20160913,,1,영업/정상,13,영업중,,,,,,02-2234-8585,,,서울특별시 중구 흥인동 86번지 리마크빌 2~3층,서울특별시 중구 다산로 258 23층 (흥인동 리마크빌),4570.0,참바로병원,20191024170231,U,2019-10-26 02:40:00.0,병원,201400.824438273,451528.012185815,병원,23.0,11.0,57.0,1735.1,120 116 109 106 105 104 101,내과 외과 정형외과 신경외과 마취통증의학과 영상의학과 재활의학과,,,,0.0,0.0,,,0.0,
3010000,PHMA220063010033021200001,20060302,,1,영업/정상,13,영업중,,,,,,2252-0202,,100452.0,서울특별시 중구 신당동 422번지 4호,서울특별시 중구 동호로 202 (신당동),4607.0,반도정형외과병원,20190827091109,U,2019-08-29 02:40:00.0,병원,200823.512501925,450412.586912513,병원,21.0,17.0,30.0,1317.7,105 106 120 119 101 116 114 111,소아청소년과 피부과 영상의학과 내과 진단검사의학과 재활의학과 신경외과 정형외과,,,,0.0,0.0,,,0.0,
3010000,PHMA220063010033021200002,20060622,,1,영업/정상,13,영업중,,,,,,-3393-1122,,,,서울특별시 중구 장충단로 263 14층 (을지로6가 밀리오레상가건물),4563.0,더블유치과병원,20191029094249,U,2019-10-31 02:40:00.0,치과병원,200697.821203755,451764.474808456,치과병원,2.0,0.0,0.0,147.94,403 404 405 406 407 408 412,통합치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과,,,,0.0,0.0,,,0.0,
3010000,PHMA220063010033021200003,20061120,,1,영업/정상,13,영업중,,,,,,2233-3923,,100829.0,서울특별시 중구 신당동 336번지 3호,서울특별시 중구 다산로 175 3층 (신당동 명덕빌딩),4608.0,유치과병원,20170905183811,I,2018-08-31 23:59:59.0,치과병원,201064.963697104,450779.720971036,치과병원,3.0,0.0,0.0,204.8,201 202 203 204 205,치주과 소아치과 치과교정과 치과보철과 구강악안면외과,,,,0.0,0.0,,,0.0,
