번호,사업장명,구,지번주소,좌표정보(X),좌표정보(Y)
1,프로짐,강남구,서울특별시 강남구 논현동 242 51 성부빌딩,203619.737329962,445879.859319977
2,번타임 코리아,강서구,서울특별시 강서구 마곡동 797 7 퀸즈파크텐 508호,-,-
3,(주) 케이디스포츠 스포애니 동묘앞역점,종로구,서울특별시 종로구 숭인동 76 롯데캐슬 천지인,201359.53353905,452395.659064842
4,스포애니 동묘앞역점,종로구,서울특별시 종로구 숭인동 76 롯데캐슬 천지인,201359.53353905,452395.659064842
5,리얼타임 피트니스,중랑구,서울특별시 중랑구 망우동 442 21 까치유치원,208591.021424155,454321.403758328
6,제이디피티샵,관악구,서울특별시 관악구 봉천동 729 32 해태보라매타워,193306.240555398,443221.321009043
7,해밀톤 휘트니스센터,용산구,서울특별시 용산구 이태원동 116 1 지하2층,199357.143999617,448100.802302867
8,에이블짐 신방화역점,강서구,서울특별시 강서구 마곡동 739 1 마곡더블유타워 10층 1001~1007호,183758,451652
9,휘트니스베이 24시 건대점,광진구,서울특별시 광진구 화양동 113 1번지,206278.982112971,449425.131943862
10,(주)비스코 헬스케어,광진구,서울특별시 광진구 자양동 227 7번지 더샵스타시티,206349.675048285,448396.939704285
11,Fitness2.0 PT Studio,양천구,서울특별시 양천구 신정동 995 4번지 302호,187943.595,446944.9
12,비타민헬스휘트니스,영등포구,서울특별시 영등포구 양평동5가 76번지,190394.571819262,448656.726986041
13,브이업짐,강서구,서울특별시 강서구 마곡동 798 12 마곡엠리체 3001302호,-,-
14,바디플렉스짐,강서구,서울특별시 강서구 화곡동 1060 17 지하1층,186014.355926895,449014.442062397
15,FIT U.S.A(피투사),양천구,서울특별시 양천구 목동 404 137번지 2층,188919.01389015,446786.559111612
16,the Fitness LAB,서초구,서울특별시 서초구 방배동 797 24번지 우림빌딩,199596.482123437,443179.818178612
17,짱휘트니스,강동구,서울특별시 강동구 성내동 430 12번지 601호,211680.853759912,447125.42728615
18,뉴크로핏,노원구,서울특별시 노원구 공릉동 389 9번지 화랑빌딩,206659.512758346,458320.518280138
19,M 휘트니스,강북구,서울특별시 강북구 미아동 310 4번지 5층,202301.896655504,457919.42367741
20,MH토탈휘트니스,양천구,서울특별시 양천구 신월동 550 3번지 승일뷰티타워2 10층(1001호~1004호),185962.809546697,446176.170952681
21,벗 명보헬스클럽,중구,서울특별시 중구 인현동1가 102 5번지,199345.537896557,451328.888559506
22,박영길 휘트니스,종로구,서울특별시 종로구 창신동 576번지 ,200889.400582142--,452273.742811659--
23,경복궁휘트니스,종로구,서울특별시 종로구 내자동 1 3번지 ,197482.188408438--,452684.539178659--
24,파고다,종로구,서울특별시 종로구 낙원동 150 1번지 파고다빌딩 ,199028.829510033--,452167.894965375--
25,보령헬스피아,종로구,서울특별시 종로구 원남동 66 21번지 보령빌딩 ,199749.709303956--,452471.681673191--
26,제이휘트니스,종로구,서울특별시 종로구 숭인동 1388번지 동양파라빌 ,201946.86632604-- ,452416.591916256--
27,베네핏,중구,서울특별시 중구 신당동 52 228 준빌딩,201586.751099659,451144.829280191
28,제일메가스포,종로구,서울특별시 종로구 연건동 198 7번지 ,200055.617260646--,452600.848170354--
29,AB휘트니스클럽,종로구,서울특별시 종로구 명륜2가 211번지 유니지오 빌딩 6층 ,199769.96511678-- ,453520.42735819-- 
30,서울YMCA,중구,서울특별시 중구 명동1가 1 1번지 ,198707.250724717--,451387.703445455--
31,에이블짐창신역점,종로구,서울특별시 종로구 창신동 23 76 브라운스톤 지하1층,201258.062657124,452787.132831042
32,주 스포짐,종로구,서울특별시 종로구 내수동 72번지 경희궁의아침 3단지 ,197465.223921125--,452366.613899898--
33,센트로폴리스 피트니스,종로구,서울특별시 종로구 공평동 5 1번지 ,198481.412657615--,452177.123807393--
34,한상현GYM,종로구,서울특별시 종로구 내수동 95번지 경희궁 파크팰리스 ,197329.898847331--,452432.501606302--
35,혁짐,관악구,서울특별시 관악구 봉천동 1685 15,196534.587783352,441771.521576822
